,g5_a025_cap10_s1,g5_a025_cap25_s1,g5_a075_cap10_s1,g5_a075_cap25_s1,g5_a100_cap10_s1,g5_a100_cap25_s1,g8_a025_cap10_s1,g8_a025_cap25_s1,g8_a075_cap10_s1,g8_a075_cap25_s1,g8_a100_cap10_s1,g8_a100_cap25_s1
2013-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-03,0.0,0.0,4.769808431559781e-13,1.8431837569938906e-06,2.937510373730508e-12,1.2892459522421292e-14,8.726544721943726e-22,8.726544721943726e-22,2.3420061103738403e-12,1.2181374673015888e-12,8.046064740655814e-14,6.6973400477140015e-21
2013-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-09,0.0,0.0,1.7532799137052104e-13,4.5036630493013923e-07,1.0801515354476866e-12,4.740335431918744e-15,3.9267867092474064e-20,4.712144051096888e-20,8.614813434793427e-13,4.4788515725595684e-13,2.9577622290264454e-14,1.0557963295498348e-21
2013-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-16,0.0,8.753922512122042e-20,9.04226959243805e-14,1.271645066594071e-20,5.566728551688682e-13,2.443597462976812e-15,2.431645142256123e-21,6.687024141204338e-20,4.4429366270153456e-13,2.3101461380686235e-13,1.52510152647751e-14,0.0
2013-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-23,6.352495505367801e-20,6.352495505367801e-20,2.436495223977758e-14,9.230866936377972e-21,1.4990647860738393e-13,6.582728850113194e-16,8.822910424121945e-22,8.822910424121945e-22,1.1970433883506039e-13,6.224764495648917e-14,4.109148889890936e-15,6.709338145371989e-21
2013-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
